Designator,Mid X,Mid Y,Rotation,Layer
C1.0,33.685,-13.392,180.0,top
C1.1,33.685,-37.392,180.0,top
C1.2,33.926035,-70.752911,180.0,top
C1.3,50.115,-27.608,0.0,top
C1.4,50.115,-51.608,0.0,top
C1.5,49.873965,-66.247089,0.0,top
C10.0,26.0,-22.3,90.0,top
C10.3,57.8,-18.7,270.0,top
C11.0,32.415,-29.080164,90.0,top
C11.1,32.415,-53.080164,90.0,top
C11.2,33.25,-77.568462,90.0,top
C11.3,51.385,-11.919836,270.0,top
C11.4,51.385,-35.919836,270.0,top
C11.5,50.55,-59.431538,270.0,top
C12.0,22.434483,-29.138759,180.0,top
C12.1,22.434483,-53.138759,180.0,top
C12.2,20.322269,-72.665111,270.0,top
C12.3,61.365517,-11.861241,0.0,top
C12.4,61.365517,-35.861241,0.0,top
C12.5,63.477731,-64.334889,90.0,top
C13.0,22.49,-23.735,180.0,top
C13.3,61.31,-17.265,0.0,top
C14.0,25.663778,-14.987358,90.0,top
C14.3,58.136222,-26.012642,270.0,top
C15.0,20.99,-17.255,270.0,top
C15.3,62.81,-23.745,90.0,top
C16.0,20.99,-19.005,90.0,top
C16.3,62.81,-21.995,270.0,top
C17.0,20.99,-20.755,270.0,top
C17.3,62.81,-20.245,90.0,top
C18.0,20.99,-22.735,90.0,top
C18.3,62.81,-18.265,270.0,top
C2.0,21.395953,-24.744221,180.0,top
C2.1,21.395953,-48.744221,180.0,top
C2.2,15.927731,-73.703641,270.0,top
C2.3,62.404047,-16.255779,0.0,top
C2.4,62.404047,-40.255779,0.0,top
C2.5,67.872269,-63.296359,90.0,top
C3.0,33.685,-29.07555,90.0,top
C3.1,33.685,-53.07555,90.0,top
C3.2,34.225188,-77.563848,90.0,top
C3.3,50.115,-11.92445,270.0,top
C3.4,50.115,-35.92445,270.0,top
C3.5,49.574812,-59.436152,270.0,top
C4.0,31.78,-13.392,180.0,top
C4.1,31.78,-37.392,180.0,top
C4.2,33.971576,-75.643394,0.0,top
C4.3,52.02,-27.608,0.0,top
C4.4,52.02,-51.608,0.0,top
C4.5,49.828424,-61.356606,180.0,top
C5.0,19.842,-29.622368,0.0,top
C5.1,19.842,-53.622368,0.0,top
C5.2,20.815204,-75.285868,90.0,top
C5.3,63.958,-11.377632,180.0,top
C5.4,63.958,-35.377632,180.0,top
C5.5,62.984796,-61.714132,270.0,top
C6.0,25.95,-19.1875,270.0,top
C6.3,57.85,-21.8125,90.0,top
C7.0,28.2,-17.9375,0.0,top
C7.3,55.6,-23.0625,180.0,top
C8.0,22.440779,-30.06649,180.0,top
C8.1,22.440779,-54.06649,180.0,top
C8.2,21.25,-72.658815,270.0,top
C8.3,61.359221,-10.93351,0.0,top
C8.4,61.359221,-34.93351,0.0,top
C8.5,62.55,-64.341185,90.0,top
C9.0,17.697832,-23.727635,0.0,top
C9.1,17.697832,-47.727635,0.0,top
C9.2,14.911145,-77.401762,90.0,top
C9.3,66.102168,-17.272365,180.0,top
C9.4,66.102168,-41.272365,180.0,top
C9.5,68.888855,-59.598238,270.0,top
D1.0,16.5,-11.8,270.0,top
D1.1,16.5,-35.8,270.0,top
D1.2,33.463455,-69.255334,180.0,top
D1.3,67.3,-29.2,90.0,top
D1.4,67.3,-53.2,90.0,top
D1.5,50.336545,-67.744666,0.0,top
D2.0,16.5,-15.8,270.0,top
D2.1,16.5,-39.8,270.0,top
D2.2,20.777992,-70.063277,90.0,top
D2.3,67.3,-25.2,90.0,top
D2.4,67.3,-49.2,90.0,top
D2.5,63.022008,-66.936723,270.0,top
D3.0,29.494,-28.505,90.0,top
D3.1,29.494,-52.505,90.0,top
D3.3,54.306,-12.495,270.0,top
D3.4,54.306,-36.495,270.0,top
D4.0,17.250558,-26.825627,90.0,top
D4.1,17.250558,-50.825627,90.0,top
D4.2,18.009137,-77.849036,180.0,top
D4.3,66.549442,-14.174373,270.0,top
D4.4,66.549442,-38.174373,270.0,top
D4.5,65.790863,-59.150964,0.0,top
J2.0,12.25,-20.3,90.0,top
J2.1,12.25,-44.3,90.0,top
J2.2,12.25,-68.3,90.0,top
J2.3,71.55,-20.7,270.0,top
J2.4,71.55,-44.7,270.0,top
J2.5,71.55,-68.7,270.0,top
JP1.1,32.354,-46.409,180.0,top
JP1.4,51.446,-42.591,0.0,top
JP10.1,20.219,-41.329,0.0,top
JP10.4,63.581,-47.671,180.0,top
JP11.1,32.354,-40.059,0.0,top
JP11.4,51.446,-48.941,180.0,top
JP12.1,20.219,-40.059,0.0,top
JP12.4,63.581,-48.941,180.0,top
JP2.1,20.154,-46.409,180.0,top
JP2.4,63.646,-42.591,0.0,top
JP3.1,32.354,-45.139,180.0,top
JP3.4,51.446,-43.861,0.0,top
JP4.1,20.154,-45.139,180.0,top
JP4.4,63.646,-43.861,0.0,top
JP5.1,32.354,-43.869,180.0,top
JP5.4,51.446,-45.131,0.0,top
JP6.1,20.219,-43.869,180.0,top
JP6.4,63.581,-45.131,0.0,top
JP7.1,32.354,-42.599,0.0,top
JP7.4,51.446,-46.401,180.0,top
JP8.1,20.219,-42.599,0.0,top
JP8.4,63.581,-46.401,180.0,top
JP9.1,32.354,-41.329,0.0,top
JP9.4,51.446,-47.671,180.0,top
K1.2,30.25,-63.05,180.0,top
K1.5,53.55,-73.95,0.0,top
K2.2,20.75,-63.05,180.0,top
K2.5,63.05,-73.95,0.0,top
KiKit_FID_B_1,6.0,-6.0,180.0,bottom
KiKit_FID_B_2,77.8,-6.0,180.0,bottom
KiKit_FID_B_3,6.0,-83.0,180.0,bottom
KiKit_FID_T_1,6.0,-6.0,0.0,top
KiKit_FID_T_2,77.8,-6.0,0.0,top
KiKit_FID_T_3,6.0,-83.0,0.0,top
KiKit_TO_1,3.0,-3.0,0.0,top
KiKit_TO_2,80.8,-3.0,0.0,top
KiKit_TO_3,3.0,-86.0,0.0,top
L1.0,23.799594,-26.31649,270.0,top
L1.1,23.799594,-50.31649,270.0,top
L1.2,17.5,-71.3,0.0,top
L1.3,60.000406,-14.68351,90.0,top
L1.4,60.000406,-38.68351,90.0,top
L1.5,66.3,-65.7,180.0,top
R1.0,31.145,-29.061702,90.0,top
R1.1,31.145,-53.061702,90.0,top
R1.2,32.25,-77.55,90.0,top
R1.3,52.655,-11.938298,270.0,top
R1.4,52.655,-35.938298,270.0,top
R1.5,51.55,-59.45,270.0,top
R10.0,18.49,-21.235,180.0,top
R10.2,30.21339,-77.562304,270.0,top
R10.3,65.31,-19.765,0.0,top
R10.5,53.58661,-59.437696,90.0,top
R11.0,18.49,-22.235,180.0,top
R11.2,29.238202,-77.554614,270.0,top
R11.3,65.31,-18.765,0.0,top
R11.5,54.561798,-59.445386,90.0,top
R12.0,25.656281,-16.837696,90.0,top
R12.2,28.263014,-77.55769,270.0,top
R12.3,58.143719,-24.162304,270.0,top
R12.5,55.536986,-59.44231,90.0,top
R13.0,16.5,-13.8,0.0,top
R13.1,16.5,-37.8,0.0,top
R13.3,67.3,-27.2,180.0,top
R13.4,67.3,-51.2,180.0,top
R14.0,17.697832,-24.735135,180.0,top
R14.1,17.697832,-48.735135,180.0,top
R14.2,15.918645,-77.401762,270.0,top
R14.3,66.102168,-16.264865,0.0,top
R14.4,66.102168,-40.264865,0.0,top
R14.5,67.881355,-59.598238,90.0,top
R15.0,19.549594,-24.741878,180.0,top
R15.1,19.549594,-48.741878,180.0,top
R15.2,15.925388,-75.55,270.0,top
R15.3,64.250406,-16.258122,0.0,top
R15.4,64.250406,-40.258122,0.0,top
R15.5,67.874612,-61.45,90.0,top
R16.0,28.25,-11.55,90.0,top
R16.3,55.55,-29.45,270.0,top
R2.0,27.97,-29.14,90.0,top
R2.1,27.97,-53.14,90.0,top
R2.2,23.387074,-77.559228,90.0,top
R2.3,55.83,-11.86,270.0,top
R2.4,55.83,-35.86,270.0,top
R2.5,60.412926,-59.440772,270.0,top
R3.0,30.002,-25.965,90.0,top
R3.1,30.002,-49.965,90.0,top
R3.3,53.798,-15.035,270.0,top
R3.4,53.798,-39.035,270.0,top
R4.0,26.562074,-29.14,270.0,top
R4.1,26.562074,-53.14,270.0,top
R4.2,25.33745,-77.553076,270.0,top
R4.3,57.237926,-11.86,90.0,top
R4.4,57.237926,-35.86,90.0,top
R4.5,58.46255,-59.446924,90.0,top
R5.0,29.494,-11.55,90.0,top
R5.1,29.494,-35.614,90.0,top
R5.2,22.411886,-77.55,270.0,top
R5.3,54.306,-29.45,270.0,top
R5.4,54.306,-53.386,270.0,top
R5.5,61.388114,-59.45,90.0,top
R6.0,17.937,-13.265,270.0,top
R6.1,17.937,-37.265,270.0,top
R6.3,65.863,-27.735,90.0,top
R6.4,65.863,-51.735,90.0,top
R7.0,28.986,-25.965,270.0,top
R7.1,28.986,-49.965,270.0,top
R7.2,24.362262,-77.551538,270.0,top
R7.3,54.814,-15.035,90.0,top
R7.4,54.814,-39.035,90.0,top
R7.5,59.437738,-59.448462,90.0,top
R8.0,18.5,-18.05,180.0,top
R8.2,26.312638,-77.556152,270.0,top
R8.3,65.3,-22.95,0.0,top
R8.5,57.487362,-59.443848,90.0,top
R9.0,18.5,-19.05,180.0,top
R9.2,27.287826,-77.560766,270.0,top
R9.3,65.3,-21.95,0.0,top
R9.5,56.512174,-59.439234,90.0,top
U1.0,20.17762,-26.918775,180.0,top
U1.1,20.17762,-50.918775,180.0,top
U1.2,18.102285,-74.921974,270.0,top
U1.3,63.62238,-14.081225,0.0,top
U1.4,63.62238,-38.081225,0.0,top
U1.5,65.697715,-62.078026,90.0,top
U2.0,23.25,-20.05,180.0,top
U2.1,26.319,-41.964,90.0,top
U2.2,27.0,-72.55,0.0,top
U2.3,60.55,-20.95,0.0,top
U2.4,57.481,-47.036,270.0,top
U2.5,56.8,-64.45,180.0,top
U3.0,27.9,-20.3,90.0,bottom
U3.1,27.9,-44.3,90.0,bottom
U3.2,27.9,-68.3,90.0,bottom
U3.3,55.9,-20.7,270.0,bottom
U3.4,55.9,-44.7,270.0,bottom
U3.5,55.9,-68.7,270.0,bottom
U4.0,28.2,-21.1875,270.0,top
U4.3,55.6,-19.8125,90.0,top
U5.0,23.363778,-14.947358,270.0,top
U5.3,60.436222,-26.052642,90.0,top
Y1.0,32.094011,-11.613535,180.0,top
Y1.1,32.094011,-35.613535,180.0,top
Y1.2,33.732977,-73.183298,270.0,top
Y1.3,51.705989,-29.386465,0.0,top
Y1.4,51.705989,-53.386465,0.0,top
Y1.5,50.067023,-63.816702,90.0,top
